iter	Logloss
0	0.6290799561
1	0.5698240967
2	0.5119645386
3	0.4681662903
4	0.4282949829
5	0.3925084534
6	0.3588547363
7	0.3312579041
8	0.3049893494
9	0.2850551147
10	0.2689829407
11	0.2537028503
12	0.2401828918
13	0.2265894623
14	0.2159963531
15	0.2069516296
16	0.1993677521
17	0.1917525635
18	0.1855233765
19	0.1790645752
20	0.1736974792
21	0.1696333923
22	0.1661596985
23	0.1627911224
24	0.1603869324
25	0.1573120422
26	0.1543653107
27	0.1525687714
28	0.1508514252
29	0.1486808167
30	0.147382843
31	0.1460238953
32	0.144338623
33	0.1428825378
34	0.1419498749
35	0.140911377
36	0.1398102875
